symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumalated_quantity,order_trade_time
ORDERUSDT,SELL,LIMIT,IOC,236,0.2805400,0.2846510,FILLED,210,236,1758947582121
IOSTUSDT,SELL,LIMIT,IOC,3697,0.002966,0.003009,FILLED,3697,3697,1758947592046
ALPINEUSDT,SELL,LIMIT,IOC,20.0,5.111900,5.185700,FILLED,20.0,20.0,1758947592444
COAIUSDT,SELL,LIMIT,IOC,7000,0.1511200,0.1535959,FILLED,1607,7000,1758947605299
ALPINEUSDT,SELL,LIMIT,IOC,1.0,5.105900,5.182600,FILLED,1.0,1.0,1758947605542
HUSDT,BUY,LIMIT,IOC,285,0.0673800,0.0664100,FILLED,285,285,1758947606105
ASRUSDT,SELL,LIMIT,IOC,59.3,2.257000,2.289000,FILLED,59.3,59.3,1758947611480
XPLUSDT,SELL,LIMIT,IOC,4028,1.4024000,1.4140698,FILLED,63,4028,1758947616083
BLESSUSDT,SELL,LIMIT,IOC,5797,0.0350102,0.0356450,FILLED,2811,5797,1758947618089
XPLUSDT,SELL,LIMIT,IOC,166,1.4007000,1.4112000,FILLED,31,166,1758947618351
ORDERUSDT,SELL,LIMIT,IOC,51,0.2802800,0.2843500,FILLED,51,51,1758947626093
DAMUSDT,SELL,LIMIT,IOC,1899,0.0747300,0.0758400,FILLED,1438,1899,1758947637613
OPENUSDT,SELL,LIMIT,IOC,1120,0.5616000,0.5671000,FILLED,435,1120,1758947672357
XPINUSDT,SELL,LIMIT,IOC,377925,0.0008441,0.0008565,FILLED,72204,377925,1758947672357
SNXUSDT,BUY,LIMIT,IOC,1290.6,1.163,1.156,FILLED,293.5,1290.6,1758947700458
BARDUSDT,SELL,LIMIT,IOC,4297,1.1453000,1.1563676,FILLED,668,4297,1758947703314
IPUSDT,SELL,LIMIT,IOC,589.6,8.311000,8.390671,FILLED,83.7,589.6,1758947703474
BARDUSDT,SELL,LIMIT,IOC,169,1.1445000,1.1551289,FILLED,37,169,1758947705368
MYXUSDT,BUY,LIMIT,IOC,11,11.7590000,11.2330000,FILLED,2,11,1758947707088
SNXUSDT,BUY,LIMIT,IOC,4371.3,1.172,1.163,FILLED,677.2,4371.3,1758947707333
COAIUSDT,SELL,LIMIT,IOC,201,0.1515200,0.1537600,FILLED,201,201,1758947708557
AVNTUSDT,SELL,LIMIT,IOC,8,1.6130300,1.6291000,FILLED,8,8,1758947708557
BLESSUSDT,SELL,LIMIT,IOC,187,0.0349640,0.0354480,FILLED,187,187,1758947708557
BARDUSDT,SELL,LIMIT,IOC,37,1.1437000,1.1555027,FILLED,4,37,1758947708557
MIRAUSDT,SELL,LIMIT,IOC,13,1.3735000,1.3859000,FILLED,13,13,1758947708557
SNXUSDT,BUY,LIMIT,IOC,33.3,1.176,1.166,FILLED,15.6,33.3,1758947713243
XPLUSDT,SELL,LIMIT,IOC,1330,1.3981000,1.4117860,FILLED,178,1330,1758947715328
MYXUSDT,BUY,LIMIT,IOC,11,11.8070000,11.2604545,FILLED,8,11,1758947716494
STBLUSDT,SELL,LIMIT,IOC,110,0.3868800,0.3925879,FILLED,23,110,1758947719110
BLESSUSDT,SELL,LIMIT,IOC,1868,0.0349270,0.0354638,FILLED,88,1868,1758947719190
SNXUSDT,BUY,LIMIT,IOC,435.9,1.179,1.167,FILLED,50.3,435.9,1758947726533
ALPINEUSDT,SELL,LIMIT,IOC,9.6,5.096400,5.174200,FILLED,9.6,9.6,1758947729664
AVNTUSDT,SELL,LIMIT,IOC,31,1.6118700,1.6263000,FILLED,31,31,1758947731211
XPLUSDT,SELL,LIMIT,IOC,14,1.3962000,1.4081000,FILLED,14,14,1758947732272
AVNTUSDT,SELL,LIMIT,IOC,599,1.6111300,1.6255130,FILLED,532,599,1758947732359
XPLUSDT,SELL,LIMIT,IOC,33,1.3940000,1.4060000,FILLED,26,33,1758947734307
SNXUSDT,BUY,LIMIT,IOC,9.9,1.182,1.171,FILLED,2.4,9.9,1758947734636
ALPINEUSDT,SELL,LIMIT,IOC,3.5,5.094300,5.170000,FILLED,3.5,3.5,1758947735127
HEMIUSDT,SELL,LIMIT,IOC,350,0.1184050,0.1201331,FILLED,84,350,1758947736588
XPLUSDT,SELL,LIMIT,IOC,34,1.3918000,1.4047000,FILLED,34,34,1758947737547
SQDUSDT,BUY,LIMIT,IOC,313,0.1618100,0.1594800,FILLED,278,313,1758947738205
BLESSUSDT,SELL,LIMIT,IOC,10624,0.0347510,0.0352583,FILLED,430,10624,1758947742605
AKEUSDT,SELL,LIMIT,IOC,31528,0.0022886,0.0023100,FILLED,31528,31528,1758947749109
AKEUSDT,SELL,LIMIT,IOC,21344,0.0022882,0.0023116,FILLED,12426,21344,1758947750671
XPLUSDT,SELL,LIMIT,IOC,58,1.3905000,1.4048000,FILLED,58,58,1758947752084
AKEUSDT,SELL,LIMIT,IOC,108754,0.0022867,0.0023059,FILLED,108754,108754,1758947752453
SNXUSDT,BUY,LIMIT,IOC,1188.8,1.187,1.177,FILLED,246.1,1188.8,1758947756446
FLUIDUSDT,SELL,LIMIT,IOC,19.2,6.066000,6.118619,FILLED,7.3,19.2,1758947756518
AKEUSDT,SELL,LIMIT,IOC,1032415,0.0022835,0.0023033,FILLED,143679,1032415,1758947757542
DOODUSDT,SELL,LIMIT,IOC,12268,0.0040550,0.0041119,FILLED,12268,12268,1758947758465
ASTERUSDT,SELL,LIMIT,IOC,89,1.9812000,1.9991449,FILLED,6,89,1758947758602
FLUIDUSDT,SELL,LIMIT,IOC,384.0,6.062000,6.113517,FILLED,86.0,384.0,1758947759073
ASTERUSDT,SELL,LIMIT,IOC,11,1.9796040,1.9993000,FILLED,11,11,1758947760196
BARDUSDT,SELL,LIMIT,IOC,9,1.1422000,1.1538000,FILLED,9,9,1758947766385
AKEUSDT,SELL,LIMIT,IOC,18087,0.0022719,0.0022777,FILLED,15781,18087,1758947768358
SQDUSDT,SELL,LIMIT,IOC,509,0.1579000,0.1607000,FILLED,509,509,1758947769198
AKEUSDT,SELL,LIMIT,IOC,138345,0.0022659,0.0022659,FILLED,138345,138345,1758947769441
BLESSUSDT,SELL,LIMIT,IOC,5000,0.0347250,0.0352545,FILLED,2067,5000,1758947769500
SQDUSDT,BUY,LIMIT,IOC,1381,0.1625500,0.1616072,FILLED,189,1381,1758947771594
ORDERUSDT,SELL,LIMIT,IOC,384,0.2794700,0.2830100,FILLED,292,384,1758947773620
AKEUSDT,SELL,LIMIT,IOC,64516,0.0022492,0.0022649,FILLED,8319,64516,1758947781141
AKEUSDT,SELL,LIMIT,IOC,151784,0.0022404,0.0022631,FILLED,109744,151784,1758947782185
SNXUSDT,SELL,LIMIT,IOC,428.0,1.152,1.163,FILLED,418.8,428.0,1758947782242
ORDERUSDT,SELL,LIMIT,IOC,729,0.2788900,0.2822050,FILLED,356,729,1758947782303
AKEUSDT,SELL,LIMIT,IOC,2091834,0.0022282,0.0022555,FILLED,43276,2091834,1758947783272
SQDUSDT,BUY,LIMIT,IOC,6845,0.1648600,0.1638331,FILLED,327,6845,1758947783375
SQDUSDT,BUY,LIMIT,IOC,3426,0.1654500,0.1639181,FILLED,7,3426,1758947786329
AKEUSDT,SELL,LIMIT,IOC,29263,0.0022203,0.0022525,FILLED,14214,29263,1758947790557
MYXUSDT,BUY,LIMIT,IOC,53,11.8370000,11.3098490,FILLED,2,53,1758947793322
XPLUSDT,BUY,LIMIT,IOC,671,1.4271000,1.4136347,FILLED,172,671,1758947796166
AKEUSDT,SELL,LIMIT,IOC,9000,0.0022163,0.0022434,FILLED,9000,9000,1758947799097
LINEAUSDT,BUY,LIMIT,IOC,531,0.0281600,0.0279000,FILLED,531,531,1758947799107
AKEUSDT,SELL,LIMIT,IOC,46264,0.0022150,0.0022462,FILLED,46264,46264,1758947800190
WUSDT,BUY,LIMIT,IOC,59.3,0.1116900,0.1107200,FILLED,59.3,59.3,1758947801470
MYXUSDT,BUY,LIMIT,IOC,41,11.8890000,11.3332682,FILLED,7,41,1758947801595
AKEUSDT,SELL,LIMIT,IOC,2160,0.0022121,0.0022433,FILLED,2160,2160,1758947803516
AKEUSDT,SELL,LIMIT,IOC,932277,0.0022116,0.0022432,FILLED,11164,932277,1758947804558
AKEUSDT,SELL,LIMIT,IOC,206350,0.0022041,0.0022323,FILLED,30672,206350,1758947807186
SNXUSDT,BUY,LIMIT,IOC,410.6,1.182,1.172,FILLED,373.6,410.6,1758947807217
AKEUSDT,SELL,LIMIT,IOC,141800,0.0022029,0.0022359,FILLED,139125,141800,1758947808324
ORDERUSDT,SELL,LIMIT,IOC,1596,0.2785800,0.2825645,FILLED,717,1596,1758947808324
AKEUSDT,SELL,LIMIT,IOC,1610695,0.0021982,0.0022236,FILLED,31019,1610695,1758947810274
AKEUSDT,SELL,LIMIT,IOC,54039,0.0021949,0.0022211,FILLED,54039,54039,1758947811583
WUSDT,BUY,LIMIT,IOC,118.4,0.1118700,0.1107100,FILLED,118.4,118.4,1758947812190
AKEUSDT,SELL,LIMIT,IOC,147581,0.0021926,0.0022271,FILLED,122533,147581,1758947815616
KMNOUSDT,SELL,LIMIT,IOC,426,0.0663200,0.0672541,FILLED,102,426,1758947816230
ALCHUSDT,BUY,LIMIT,IOC,311,0.0587000,0.0579100,FILLED,311,311,1758947817726
AKEUSDT,BUY,LIMIT,IOC,255000,0.0022706,0.0022325,FILLED,75273,255000,1758947820615
AKEUSDT,SELL,LIMIT,IOC,300000,0.0021885,0.0021885,FILLED,300000,300000,1758947823060
ALPINEUSDT,SELL,LIMIT,IOC,384.6,5.082100,5.156454,FILLED,97.4,384.6,1758947825854
ALPINEUSDT,SELL,LIMIT,IOC,66.8,5.078900,5.157272,FILLED,16.4,66.8,1758947827589
DEGOUSDT,BUY,LIMIT,IOC,1162.9,1.1489000,1.1324161,FILLED,433.5,1162.9,1758947829473
SNXUSDT,BUY,LIMIT,IOC,15.9,1.194,1.181,FILLED,15.9,15.9,1758947834241
ALPINEUSDT,BUY,LIMIT,IOC,29.8,5.270900,5.201300,FILLED,29.8,29.8,1758947857509
HANAUSDT,BUY,LIMIT,IOC,8037,0.0632300,0.0623650,FILLED,734,8037,1758947863650
AKEUSDT,BUY,LIMIT,IOC,2199244,0.0022487,0.0022217,FILLED,10231,2199244,1758947867607
ORDERUSDT,BUY,LIMIT,IOC,7104,0.2682500,0.2647964,FILLED,6682,7104,1759087203241
ASTERUSDT,SELL,LIMIT,IOC,306,1.8298000,1.8512009,FILLED,133,306,1759087203242
AVNTUSDT,BUY,LIMIT,IOC,1391,1.4063000,1.3923568,FILLED,168,1391,1759087203242
HUSDT,SELL,LIMIT,IOC,97,0.0733700,0.0742100,FILLED,97,97,1759087205172
ALPINEUSDT,SELL,LIMIT,IOC,4.9,5.538800,5.624077,FILLED,1.5,4.9,1759087205488
HIFIUSDT,BUY,LIMIT,IOC,43,0.1617100,0.1473500,FILLED,43,43,1759087207631
HIFIUSDT,BUY,LIMIT,IOC,1180,0.1501500,0.1474503,FILLED,47,1180,1759087212082
FORMUSDT,BUY,LIMIT,IOC,51.0,1.279200,1.263000,FILLED,51.0,51.0,1759087214708
XPLUSDT,SELL,LIMIT,IOC,46,1.3683000,1.3817000,FILLED,46,46,1759087215236
FORMUSDT,BUY,LIMIT,IOC,3971.4,1.282000,1.267989,FILLED,603.2,3971.4,1759087216069
ICNTUSDT,SELL,LIMIT,IOC,56,0.2217000,0.2243000,FILLED,56,56,1759087216294
FORMUSDT,BUY,LIMIT,IOC,307.6,1.283200,1.265300,FILLED,95.9,307.6,1759087218550
FORMUSDT,BUY,LIMIT,IOC,25.0,1.284700,1.266000,FILLED,25.0,25.0,1759087219896
ICNTUSDT,SELL,LIMIT,IOC,3437,0.2208000,0.2240695,FILLED,69,3437,1759087222094
THEUSDT,BUY,LIMIT,IOC,210.0,0.4301000,0.4239000,FILLED,210.0,210.0,1759087234282
