symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumalated_quantity,order_trade_time
XRPUSDT,SELL,LIMIT,IOC,692.5,2.9622,2.9770,FILLED,692.5,692.5,1759810405263
DOGEUSDT,SELL,LIMIT,IOC,3077,0.263140,0.264810,FILLED,3077,3077,1759810426064
ETHUSDT,BUY,LIMIT,IOC,0.024,4697.38,4678.77,FILLED,0.024,0.024,1759810429956
DOGEUSDT,SELL,LIMIT,IOC,4652,0.263070,0.264800,FILLED,2395,4652,1759810431438
BTCUSDT,SELL,LIMIT,IOC,0.002,123617.40,124097.20,FILLED,0.002,0.002,1759810432254
SOLUSDT,SELL,LIMIT,IOC,0.54,231.8400,233.0000,FILLED,0.54,0.54,1759810432796
DOTUSDT,SELL,LIMIT,IOC,54.0,4.307,4.334,FILLED,6.8,54.0,1759810436688
BTCUSDT,SELL,LIMIT,IOC,0.004,123600.80,124097.20,FILLED,0.002,0.004,1759810438152
SOLUSDT,SELL,LIMIT,IOC,1.33,231.8300,232.9500,FILLED,1.33,1.33,1759810438152
LTCUSDT,SELL,LIMIT,IOC,0.246,117.32,117.88,FILLED,0.139,0.246,1759810438709
DOGEUSDT,SELL,LIMIT,IOC,25,0.263050,0.264700,FILLED,25,25,1759810438709
ETHUSDT,SELL,LIMIT,IOC,0.010,4660.33,4678.79,FILLED,0.010,0.010,1759810438709
ADAUSDT,SELL,LIMIT,IOC,70,0.85890,0.86320,FILLED,70,70,1759810439069
AVAXUSDT,SELL,LIMIT,IOC,20,30.0880,30.2290,FILLED,6,20,1759810440631
ADAUSDT,SELL,LIMIT,IOC,6,0.85900,0.86320,FILLED,6,6,1759810441695
LTCUSDT,SELL,LIMIT,IOC,7.000,117.30,117.88,FILLED,0.047,7.000,1759810442334
ADAUSDT,SELL,LIMIT,IOC,1105,0.85880,0.86320,FILLED,409,1105,1759810447332
AVAXUSDT,SELL,LIMIT,IOC,2,30.0820,30.2310,FILLED,2,2,1759810455519
ETHUSDT,BUY,LIMIT,IOC,0.007,4697.41,4678.76,FILLED,0.007,0.007,1759810455519
DOGEUSDT,SELL,LIMIT,IOC,49100,0.262960,0.264560,FILLED,24518,49100,1759810509451
ADAUSDT,SELL,LIMIT,IOC,33,0.85870,0.86270,FILLED,33,33,1759810510066
AVAXUSDT,SELL,LIMIT,IOC,81,30.0690,30.2170,FILLED,7,81,1759810511273
ADAUSDT,SELL,LIMIT,IOC,6,0.85870,0.86280,FILLED,6,6,1759810511411
BTCUSDT,BUY,LIMIT,IOC,0.011,124574.50,124080.60,FILLED,0.011,0.011,1759810515370
BTCUSDT,SELL,LIMIT,IOC,0.006,123584.70,124076.10,FILLED,0.006,0.006,1759810520528
BTCUSDT,SELL,LIMIT,IOC,0.023,123574.40,124066.70,FILLED,0.023,0.023,1759810526605
BTCUSDT,SELL,LIMIT,IOC,0.007,123571.20,124058.00,FILLED,0.007,0.007,1759810529102
BTCUSDT,SELL,LIMIT,IOC,0.004,123565.00,124058.00,FILLED,0.004,0.004,1759810530459
BTCUSDT,SELL,LIMIT,IOC,0.011,123605.90,124088.80,FILLED,0.011,0.011,1759810593132
XRPUSDT,SELL,LIMIT,IOC,287.3,2.9603,2.9741,FILLED,287.3,287.3,1759810607674
XRPUSDT,SELL,LIMIT,IOC,502.0,2.9595,2.9737,FILLED,68.5,502.0,1759810608791
ADAUSDT,SELL,LIMIT,IOC,1952,0.85810,0.86220,FILLED,1952,1952,1759810609893
DOTUSDT,SELL,LIMIT,IOC,21.9,4.302,4.329,FILLED,21.9,21.9,1759810616070
ETHUSDT,BUY,LIMIT,IOC,1.000,4700.79,4681.93,FILLED,0.906,1.000,1759810736550
DOGEUSDT,SELL,LIMIT,IOC,756,0.262980,0.264640,FILLED,669,756,1759810890492
BTCUSDT,BUY,LIMIT,IOC,0.002,124585.30,124082.70,FILLED,0.002,0.002,1759810892169
ETHUSDT,BUY,LIMIT,IOC,0.106,4697.71,4679.01,FILLED,0.106,0.106,1759810892169
DOGEUSDT,SELL,LIMIT,IOC,3026,0.263060,0.264570,FILLED,1907,3026,1759810898407
